,loss,acc,val_loss,val_acc
0,0.622991681098938,0.6620000004768372,0.48727405071258545,0.8240000009536743
1,0.5116379261016846,0.7605000138282776,0.41130945086479187,0.8410000205039978
2,0.4660397171974182,0.7954999804496765,0.3611646890640259,0.8600000143051147
3,0.42973068356513977,0.8115000128746033,0.33382025361061096,0.871999979019165
4,0.4083348214626312,0.8270000219345093,0.3085344433784485,0.8820000290870667
5,0.3858451843261719,0.8314999938011169,0.29994821548461914,0.8740000128746033
6,0.38889238238334656,0.824999988079071,0.2878669500350952,0.8880000114440918
7,0.3600735366344452,0.8489999771118164,0.27657559514045715,0.8889999985694885
8,0.36212456226348877,0.8395000100135803,0.27260246872901917,0.8880000114440918
9,0.3424054682254791,0.8519999980926514,0.2671040892601013,0.8899999856948853
10,0.34497344493865967,0.8544999957084656,0.2638825476169586,0.8960000276565552
11,0.33611875772476196,0.8569999933242798,0.26137691736221313,0.8930000066757202
12,0.33172252774238586,0.8535000085830688,0.25811484456062317,0.8880000114440918
13,0.3371744155883789,0.8525000214576721,0.2557046711444855,0.8949999809265137
14,0.3232513964176178,0.859499990940094,0.2522957921028137,0.8939999938011169
15,0.3186839818954468,0.8619999885559082,0.2500104606151581,0.8999999761581421
16,0.3114030957221985,0.8665000200271606,0.24851810932159424,0.9039999842643738
17,0.3231925964355469,0.8539999723434448,0.25145286321640015,0.8980000019073486
18,0.31280481815338135,0.8640000224113464,0.24750874936580658,0.9010000228881836
19,0.3194335103034973,0.8604999780654907,0.24757950007915497,0.8980000019073486
20,0.3141900599002838,0.8610000014305115,0.24564053118228912,0.902999997138977
21,0.3080494999885559,0.8659999966621399,0.24867576360702515,0.8949999809265137
22,0.2991470396518707,0.8675000071525574,0.24346919357776642,0.9010000228881836
23,0.30265089869499207,0.8684999942779541,0.24176812171936035,0.8999999761581421
24,0.29864490032196045,0.8709999918937683,0.24255795776844025,0.8989999890327454
25,0.3029748201370239,0.8715000152587891,0.24053631722927094,0.9010000228881836
26,0.2952578365802765,0.8799999952316284,0.24133995175361633,0.9010000228881836
27,0.3050282895565033,0.8659999966621399,0.24434874951839447,0.8999999761581421
28,0.2951385974884033,0.8765000104904175,0.239284947514534,0.9070000052452087
29,0.29231128096580505,0.8755000233650208,0.24071523547172546,0.9039999842643738
